COD_EMPRESA	HOJA CB	Numero Fila	BODEGA	CODIGO	Posponer BUF	Posponer RED	Posponer GDB	Proveedor	Perfil	Buff Min	Buff Max	PEDID Min	Redondeo Pedido Mínimo	PEDID Min Grupo	Unidad Empaque	Redondeo Unidad Empaque	Porc Aten	Impacto Faltante	Observaciones	Nuevo Buff Real	Buff Act	Ult Buffer	Buff Ant Estacion	Buff Estacional	Ingresos	Egresos	Calendario Estacional	Inicio Per	Fin Per	DUMMY_FIELD
1.90334E+11	CTJE.xlsm	40	BP-MATRIZ	06.173.0001	43333	42779	43166	243 - 	243-T24-F12			100	Clasificación		1	=	1				150	150						43249	43375	
1.90334E+11	CTJE.xlsm	41	BP-MATRIZ	06.171.0008				3552 - RI	3552 - T21-F8			1	clasificación		1	=	1				105	0						43280	43434	
1.90334E+11	CTJE.xlsm	42	BP-MATRIZ	06.171.0007	43305		43081	3552 - RI	3552 - T21-F8			1	Clasificación		1	=	1				700	427						43159	43313	
1.90334E+11	CTJE.xlsm	43	BP-MATRIZ	06.171.0006	43305		43116	3552 - RI	3552 - T21-F8			100	Clasificación		1	=	1				450	280						43249	43403	
1.90334E+11	CTJE.xlsm	44	BP-MATRIZ	06.171.0005	43305		43305	3552 - RI	3552 - T21-F8			100	Clasificación		1	=	1				1300	630						43249	43403	
1.90334E+11	CTJE.xlsm	45	BP-MATRIZ	06.171.0004	43333		43333	243 - 	243-T24-F12			1500	Clasificación		1	=	1				1000	1500						43249	43375	
1.90334E+11	CTJE.xlsm	46	BP-MATRIZ	06.171.0003	43333		43333	243 - 	243-T24-F12			500	Clasificación		1	=	1				1000	1700						43249	43375	
1.90334E+11	CTJE.xlsm	47	BP-MATRIZ	06.171.0002	43333		43151	243 - 	243-T24-F12			100	Clasificación		1	=	1				350	330						43249	43375	
1.90334E+11	CTJE.xlsm	48	BP-MATRIZ	06.171.0001	43333		43081	243 - 	243-T24-F12			2000	Clasificación		1	=	1				3850	3850						43249	43375	
1.90334E+11	CTJE.xlsm	49	BP-MATRIZ	06.168.0001	43333		43070	243 - 	243-T24-F12			100	Clasificación		1	=	1				450	480						43187	43313	
1.90334E+11	CTJE.xlsm	50	BP-MATRIZ	06.166.0026	43333		43333	243 - 	243-T24-F12			1	Clasificación		1	=	1				450	0						43187	43313	
1.90334E+11	CTJE.xlsm	51	BP-MATRIZ	06.166.0025	43333	42779	43153	243 - 	243-T24-F12			150	Clasificación		1	=	1				300	300						43187	43313	
1.90334E+11	CTJE.xlsm	52	BP-MATRIZ	06.166.0021	43333		43070	243 - 	243-T24-F12			200	Clasificación		1	=	1				550	550						43187	43313	
1.90334E+11	CTJE.xlsm	53	BP-MATRIZ	06.166.0017	43333		43333	243 - 	243-T24-F12			300	Clasificación		1	=	1				300	300						43249	43375	
1.90334E+11	CTJE.xlsm	54	BP-MATRIZ	06.166.0015	43333		43333	243 - 	243-T24-F12			1	Clasificación		1	=	1				300	315						43187	43313	
1.90334E+11	CTJE.xlsm	55	BP-MATRIZ	06.166.0014	43333		43186	243 - 	243-T24-F12			300	Clasificación		1	=	1				1000	1000						43249	43375	
1.90334E+11	CTJE.xlsm	56	BP-MATRIZ	06.166.0012	43333		43333	243 - 	243-T24-F12			100	Clasificación		1	=	1				250	250						43249	43375	
1.90334E+11	CTJE.xlsm	57	BP-MATRIZ	06.166.0011	43333		43186	243 - 	243-T24-F12			300	Clasificación		1	=	1				2000	2000						43249	43375	
1.90334E+11	CTJE.xlsm	58	BP-MATRIZ	06.166.0010	43333		43140	243 - 	243-T24-F12			200	Clasificación		1	=	1				250	250						43249	43375	
1.90334E+11	CTJE.xlsm	59	BP-MATRIZ	06.166.0009	43333		43073	243 - 	243-T24-F12			500	Clasificación		1	=	1				2400	2400						43249	43375	
1.90334E+11	CTJE.xlsm	60	BP-MATRIZ	06.166.0008	43333		43153	243 - 	243-T24-F12			100	Clasificación		1	=	1				150	150						43249	43375	
1.90334E+11	CTJE.xlsm	61	BP-MATRIZ	06.166.0007	43333		43153	243 - 	243-T24-F12			200	Clasificación		1	=	1				225	225						43249	43375	
1.90334E+11	CTJE.xlsm	62	BP-MATRIZ	06.166.0006	43333		43139	243 - 	243-T24-F12			500	Clasificación		1	=	1				1300	1300						43249	43375	
1.90334E+11	CTJE.xlsm	63	BP-MATRIZ	06.166.0005	43333		43070	243 - 	243-T24-F12			50	Clasificación		1	=	1				250	250						43249	43375	
1.90334E+11	CTJE.xlsm	64	BP-MATRIZ	06.166.0004	43333		43122	243 - 	243-T24-F12			300	Clasificación		1	=	1				500	500						43249	43375	
1.90334E+11	CTJE.xlsm	65	BP-MATRIZ	06.166.0003	43333		43073	243 - 	243-T24-F12			300	Clasificación		1	=	1				500	500						43249	43375	
1.90334E+11	CTJE.xlsm	66	BP-MATRIZ	06.166.0002	43333		43070	243 - 	243-T24-F12			500	Clasificación		1	=	1				1100	1100						43249	43375	
1.90334E+11	CTJE.xlsm	67	BP-MATRIZ	06.166.0001	43333		43140	243 - 	243-T24-F12			100	Clasificación		1	=	1				260	260						43249	43375	
1.90334E+11	CTJE.xlsm	68	BP-MATRIZ	06.163.0005	43333			243 - 	243-T24-F12			70	Clasificación		1	=	1				200	200						43249	43375	
1.90334E+11	CTJE.xlsm	69	BP-MATRIZ	06.163.0004	43333		43122	243 - 	243-T24-F12			200	Clasificación		1	=	1				750	750						43249	43375	
1.90334E+11	CTJE.xlsm	70	BP-MATRIZ	06.163.0002	43333		43140	243 - 	243-T24-F12			500	Clasificación		1	=	1				1000	1000						43249	43375	
1.90334E+11	CTJE.xlsm	71	BP-MATRIZ	06.163.0001				243 - 	243-T24-F12			1	clasificación		1	=	1				0	0						43280	43406	
1.90334E+11	CTJE.xlsm	72	BP-MATRIZ	06.162.0002	43333		43014	243 - 	243-T24-F12			20	Clasificación		1	=	1				1700	1700						43249	43375	
1.90334E+11	CTJE.xlsm	73	BP-MATRIZ	06.162.0001	43333		43139	243 - 	243-T24-F12			2000	Clasificación		1	=	1				4000	4000						43249	43375	
1.90334E+11	CTJE.xlsm	74	BP-MATRIZ	06.161.0008	43333		43333	243 - 	243-T24-F12			2000	Clasificación		1	=	1				1500	2000						43249	43375	
1.90334E+11	CTJE.xlsm	75	BP-MATRIZ	06.161.0007	43333		43186	243 - 	243-T24-F12			1000	Clasificación		1	=	1				1500	1900						43249	43375	
1.90334E+11	CTJE.xlsm	76	BP-MATRIZ	06.161.0006	43333		43153	243 - 	243-T24-F12			500	Clasificación		1	=	1				1000	1000						43249	43375	
1.90334E+11	CTJE.xlsm	77	BP-MATRIZ	06.161.0005	43333		43139	243 - 	243-T24-F12			500	Clasificación		1	=	1				1700	1700						43249	43375	
1.90334E+11	CTJE.xlsm	78	BP-MATRIZ	06.161.0004	43333		43084	243 - 	243-T24-F12			1000	Clasificación		1	=	1				1500	1500						43249	43375	
1.90334E+11	CTJE.xlsm	79	BP-MATRIZ	06.161.0003	43333		43122	243 - 	243-T24-F12			1000	Clasificación		1	=	1				2000	2000						43249	43375	
1.90334E+11	CTJE.xlsm	80	BP-MATRIZ	06.161.0001	43333		43038	243 - 	243-T24-F12			500	Clasificación		1	=	1				1500	1500						43249	43375	
1.90334E+11	CTJE.xlsm	81	BP-MATRIZ	06.156.0002	43333		43333	243 - 	243-T24-F12			500	Clasificación		1	=	1				2000	2500						43249	43375	
1.90334E+11	CTJE.xlsm	82	BP-MATRIZ	06.156.0001	43333		43333	243 - 	243-T24-F12			100	Clasificación		1	=	1				360	300						43249	43375	
1.90334E+11	CTJE.xlsm	83	BP-MATRIZ	06.150.0024				243 - 	243-T24-F12			1	clasificación		1	=	1				270	0						43280	43406	
1.90334E+11	CTJE.xlsm	84	BP-MATRIZ	06.150.0023	43333			243 - 	243-T24-F12			30	Clasificación		1	=	1				200	0						43249	43375	
1.90334E+11	CTJE.xlsm	85	BP-MATRIZ	06.150.0022				3557 - VA	3557 - T20-F8			1	clasificación		1	=	1				40	21						43286	43433	
1.90334E+11	CTJE.xlsm	86	BP-MATRIZ	06.150.0021	43305		43305	3557 - VA	3557 - T20-F8			1	Clasificación		1	=	1				140	49						43249	43396	
1.90334E+11	CTJE.xlsm	87	BP-MATRIZ	06.150.0020	43333		43154	243 - 	243-T24-F12			150	Clasificación		1	=	1				250	200						43249	43375	
1.90334E+11	CTJE.xlsm	88	BP-MATRIZ	06.150.0019	43333		43070	243 - 	243-T24-F12			300	Clasificación		1	=	1				2500	2300						43249	43375	
1.90334E+11	CTJE.xlsm	89	BP-MATRIZ	06.150.0016	43305		43095	3557 - VA	3557 - T20-F8			1	Clasificación		1	=	1				100	70						43249	43396	
1.90334E+11	CTJE.xlsm	90	BP-MATRIZ	06.150.0015	43333		43186	243 - 	243-T24-F12			200	Clasificación		1	=	1				2500	2500						43249	43375	
1.90334E+11	CTJE.xlsm	91	BP-MATRIZ	06.150.0014	43333		43122	243 - 	243-T24-F12			300	Clasificación		1	=	1				750	750						43249	43375	
1.90334E+11	CTJE.xlsm	92	BP-MATRIZ	06.150.0012	43333		43186	243 - 	243-T24-F12			500	Clasificación		1	=	1				1875	1875						43249	43375	
1.90334E+11	CTJE.xlsm	93	BP-MATRIZ	06.150.0011	43333		43122	243 - 	243-T24-F12			300	Clasificación		1	=	1				1100	1100						43249	43375	
1.90334E+11	CTJE.xlsm	94	BP-MATRIZ	06.150.0010	43333	42751	43077	243 - 	243-T24-F12			200	Clasificación		1	=	1				200	200						43249	43375	
1.90334E+11	CTJE.xlsm	95	BP-MATRIZ	06.150.0009	43333		43122	243 - 	243-T24-F12			300	Clasificación		1	=	1				2000	2000						43249	43375	
1.90334E+11	CTJE.xlsm	96	BP-MATRIZ	06.150.0006	43333		43077	243 - 	243-T24-F12			500	Clasificación		1	=	1				4500	4500						43249	43375	
